air_force_blue_raf,"Air Force Blue (Raf)",#5d8aa8,93,138,168
alizarin_crimson,"Alizarin Crimson",#e32636,227,38,54
alloy_orange,"Alloy Orange",#c46210,196,98,16
almond,"Almond",#efdecd,239,222,205
amaranth,"Amaranth",#e52b50,229,43,80
amber,"Amber",#ffbf00,255,191,0
amber_sae_ece,"Amber (Sae/Ece)",#ff7e00,255,126,0
american_rose,"American Rose",#ff033e,255,3,62
amethyst,"Amethyst",#96c,153,102,204
android_green,"Android Green",#a4c639,164,198,57
atomic_tangerine,"Atomic Tangerine",#f96,255,153,102
auburn,"Auburn",#a52a2a,165,42,42lack Bean",#3d0c02,61,12,2
black_leather_jacket,"Black Leather Jacket",#253529,37,53,41
black_olive,"Black Olive",#3b3c36,59,60,54
blue_pigment,"Blue (Pigment)",#339,51,51,153
blue_ryb,"Blue (Ryb)",#0247fe,2,71,254
blue_sapphire,"Blue Sapphire",#126180,18,97,128
blue_violet,"Blue-Violet",#8a2be2,138,43,226
blush,"Blush",#de5d83,222,93,131
bole,"Bole",#79443b,121,68,59
bondi_blue,"Bondi Blue",#0095b6,0,149,182
bone,"Bone",#e3dac9,227,218,201
boston_university_red,"Boston University Red",#c00,204,0,0
bottle_green,"Bottle Green",#006a4e,0,106,78
boysenberry,"Boysenberry",#873260,135,50,96
brandeis_blue,"Brandeis Blue",#0070ff,0,112,255
brass,"Brass",#b5a642,181,166,66
brick_red,"Brick Red",#cb4154,203,65,84
bright_cerulean,"Bright Cerulean",#1dacd6,29,172,214
bright_green,"Bright Green",#6f0,102,255,0British Racing Green",#004225,0,66,37
bronze,"Bronze",#cd7f32,205,127,50
brown_traditional,"Brown (Traditional)",#964b00,150,75,0
brown_web,"Brown (Web)",#a52a2a,165,42,42
bubble_gum,"Bubble Gum",#ffc1cc,255,193,204
bubbles,"Bubbles",#e7feff,231,254,255
buff,"Buff",#f0dc82,240,220,130
burnt_umber,"Burnt Umber",#8a3324,138,51,36
byzantine,"Byzantine",#bd33a4,189,51,164
byzantium,"Byzantium",#702963,112,41,99
cadet,"Cadet",#536872,83,104,114
cadet_blue,"Cadet Blue",#5f9ea0,95,158,160
cadet_grey,"Cadet Grey",#91a3b0,145,163,176
cadmium_green,"Cadmium Green",#006b3c,0,107,60
cadmium_orange,"Cadmium Orange",#ed872d,237,135,45
cadmium_red,"Cadmium Red",#e30022,227,0,34
cadmium_yellow,"Cadmium Yellow",#fff600,255,246,0
caf_au_lait,"Café Au Lait",#a67b5b,166,123,91
caf_noir,"Café Noir",#4b3621,75,54,33
cal_poly_green,"Cal Poly Green",#1e4d2b,30,77,43
cambridge_blue,"Cambridge Blue",#a3c1ad,163,193,173
camel,"Camel",#c19a6b,193,154,107
cameo_pink,"Cameo Pink",#efbbcc,239,187,204
camouflage_green,"Camouflage Green",#78866b,120,134,107
canary_yellow,"Canary Yellow",#ffef00,255,239,0
candy_apple_red,"Candy Apple Red",#ff0800,255,8,0
candy_pink,"Candy Pink",#e4717a,228,113,122
capri,"Capri",#00bfff,0,191,255
caput_mortuum,"Caput Mortuum",#592720,89,39,32
cardinal,"Cardinal",#c41e3a,196,30,58
caribbean_green,"Caribbean Green",#0c9,0,204,153
carmine,"Carmine",#960018,150,0,24
carmine_m_p,"Carmine (M&P)",#d70040,215,0,64
citrine,"Citrine",#e4d00a,228,208,10
classic_rose,"Classic Rose",#fbcce7,251,204,231
cobalt,"Cobalt",#0047ab,0,71,171
cocoa_brown,"Cocoa Brown",#d2691e,210,105,30
coffee,"Coffee",#6f4e37,111,78,55
columbia_blue,"Columbia Blue",#9bddff,155,221,255
congo_pink,"Congo Pink",#f88379,248,131,121
cool_black,"Cool Black",#002e63,0,46,99
cool_grey,"Cool Grey",#8c92ac,140,146,172
copper,"Copper",#b87333,184,115,51
copper_crayola,"Copper (Crayola)",#da8a67,218,138,103
copper_penny,"Copper Penny",#ad6f69,173,111,105
copper_red,"Copper Red",#cb6d51,203,109,81c Latte",#fff8e7,255,248,231
cotton_candy,"Cotton Candy",#ffbcd9,255,188,217
cream,"Cream",#fffdd0,255,253,208
crimson,"Crimson",#dc143c,220,20,60
crimson_glory,"Crimson Glory",#be0032,190,0,50
cyan,"Cyan",#0ff,0,255,255
cyan_process,"Cyan (Process)",#00b7eb,0,183,235
daffodil,"Daffodil",#ffff31,255,255,49
dandelion,"Dandelion",#f0e130,240,225,48
dark_blue,"Dark Blue",#00008b,0,0,139
dark_brown,"Dark Brown",#654321,101,67,33
dark_byzantium,"Dark Byzantium",#5d3954,93,57,84
dark_candy_apple_red,"Dark Candy Apple Red",#a40000,164,0,0
dark_cerulean,"Dark Cerulean",#08457e,8,69,126
dark_chestnut,"Dark Chestnut",#986960,152,105,96
dark_coral,"Dark Coral",#cd5b45,205,91,69
dark_cyan,"Dark Cyan",#008b8b,0,139,139
dark_electric_blue,"Dark Electric Blue",#536878,83,104,120
dark_goldenrod,"Dark Goldenrod",#b8860b,184,134,11
dark_gray,"Dark Gray",#a9a9a9,169,169,169
dark_green,"Dark Green",#013220,1,50,32
dark_imperial_blue,"Dark Imperial Blue",#00416a,0,65,106
dark_jungle_green,"Dark Jungle Green",#1a2421,26,36,33
dark_khaki,"Dark Khaki",#bdb76b,189,183,107
dark_lava,"Dark Lava",#483c32,72,60,50
dark_lavender,"Dark Lavender",#734f96,115,79,150
dark_magenta,"Dark Magenta",#8b008b,139,0,139480,231,84,128
dark_powder_blue,"Dark Powder Blue",#039,0,51,153
dark_raspberry,"Dark Raspberry",#872657,135,38,87
dark_red,"Dark Red",#8b0000,139,0,0
dark_salmon,"Dark Salmon",#e9967a,233,150,122
dark_scarlet,"Dark Scarlet",#560319,86,3,25209
dark_violet,"Dark Violet",#9400d3,148,0,211
dark_yellow,"Dark Yellow",#9b870c,155,135,12
dartmouth_green,"Dartmouth Green",#00703c,0,112#704241,112,66,65
deep_fuchsia,"Deep Fuchsia",#c154c1,193,84,193
deep_jungle_green,"Deep Jungle Green",#004b49,0,75,73
deep_lilac,"Deep Lilac",#95b,153,85,187
deep_magenta,"Deep Magenta",#c0c,204,0,204
deep_peach,"Deep Peach",#ffcba4,255,203,164
deep_pink,"Deep Pink",#ff1493,255,20,147
deep_ruby,"Deep Ruby",#843f5b,132,63,91
deep_saffron,"Deep Saffron",#f93,255,153,51
deep_sky_blue,"Deep Sky Blue",#00bfff,0,191,255
deep_tuscan_red,"Deep Tuscan Red",#66424d,102,66,77
denim,"Denim",#1560bd,21,96,189
fashion_fuchsia,"Fashion Fuchsia",#f400a1,244,0,161
fawn,"Fawn",#e5aa70,229,170,112
feldgrau,"Feldgrau",#4d5d53,77,93,83
fern_green,"Fern Green",#4f7942,79,121,66
ferrari_red,"Ferrari Red",#ff2800,255,40,0
field_drab,"Field Drab",#6c541e,108,84,30
fire_engine_red,"Fire Engine Red",#ce2029,206,32,41
firebrick,"Firebrick",#b22222,178,34,34
flame,"Flame",#e25822,226,88,34
flamingo_pink,"Flamingo Pink",#fc8eac,252,142,172
flavescent,"Flavescent",#f7e98e,247,233,142
flax,"Flax",#eedc82,238,220,130
floral_white,"Floral White",#fffaf0,255,250,240
fluorescent_orange,"Fluorescent Orange",#ffbf00,255,191,0
